Size,MergeSortTime,InsertionSortTime
23650,0.014266,0.491352
23700,0.014321,0.490926
23750,0.014622,0.499892
23800,0.014366,0.503163
23850,0.014446,0.504786
23900,0.014496,0.503529
23950,0.014472,0.505488
24000,0.014629,0.501806
24050,0.014849,0.510803
24100,0.014456,0.510475
24150,0.014605,0.519919
24200,0.014724,0.517619
24250,0.014702,0.522173
24300,0.014588,0.534483
24350,0.014696,0.531169
24400,0.014733,0.524572
24450,0.015026,0.529828
24500,0.015027,0.534516
24550,0.015095,0.534018
24600,0.014835,0.53272
24650,0.014765,0.539867
24700,0.015055,0.538428
24750,0.015058,0.546822
24800,0.015218,0.544369
24850,0.037893,0.544058
24900,0.015216,0.547663
24950,0.015095,0.545996
25000,0.015175,0.555693
25050,0.01527,0.556735
25100,0.015299,0.567923
25150,0.015172,0.557239
25200,0.015232,0.563984
25250,0.015473,0.56539
25300,0.015283,0.567014
25350,0.015512,0.567959
25400,0.015463,0.569172
25450,0.015708,0.573696
25500,0.01558,0.575614
25550,0.015523,0.579243
25600,0.015409,0.579938
25650,0.01561,0.578712
25700,0.015649,0.581558
25750,0.01572,0.594361
25800,0.015683,0.591925
25850,0.015732,0.587353
25900,0.015905,0.599142
25950,0.015739,0.596179
26000,0.01582,0.59826
26050,0.015754,0.604492
26100,0.015997,0.604356
26150,0.015899,0.602969
26200,0.016095,0.607896
26250,0.016331,0.609075
26300,0.016096,0.611823
26350,0.01608,0.613509
26400,0.016306,0.619197
26450,0.016133,0.621703
26500,0.016178,0.626484
26550,0.016274,0.621441
26600,0.016256,0.629184
26650,0.016446,0.633245
26700,0.016411,0.629071
26750,0.016299,0.638094
26800,0.016257,0.635783
26850,0.016397,0.63801
26900,0.016358,0.637639
26950,0.016573,0.643314
27000,0.016585,0.644666
27050,0.016575,0.647781
27100,0.016843,0.647139
27150,0.016776,0.655012
27200,0.016866,0.661127
27250,0.016948,0.657179
27300,0.016598,0.662651
27350,0.016813,0.662677
27400,0.016888,0.669659
27450,0.016805,0.665874
27500,0.016744,0.671938
27550,0.016936,0.669956
27600,0.016997,0.671906
27650,0.017038,0.677076
27700,0.016913,0.680641
27750,0.017479,0.677984
27800,0.017138,0.682258
27850,0.016888,0.694001
27900,0.017234,0.691805
27950,0.017135,0.69996
28000,0.017332,0.690955
28050,0.017311,0.692259
28100,0.017364,0.699388
28150,0.017337,0.70605
28200,0.017403,0.697285
28250,0.017386,0.701229
28300,0.017623,0.705559
28350,0.017556,0.706915
28400,0.017575,0.721284
28450,0.01769,0.721858
28500,0.017539,0.725281
28550,0.017462,0.723395
28600,0.017746,0.729076
28650,0.017639,0.740201
28700,0.017562,0.729564
28750,0.01785,0.735144
28800,0.017882,0.736766
28850,0.017794,0.738573
28900,0.017929,0.740356
28950,0.01799,0.745736
29000,0.017858,0.747088
29050,0.017895,0.747956
29100,0.018067,0.750903
29150,0.018091,0.749196
29200,0.01819,0.756447
29250,0.017908,0.765047
29300,0.018271,0.7601
29350,0.018316,0.760317
29400,0.018192,0.767589
29450,0.018193,0.767119
29500,0.018309,0.763251
29550,0.018531,0.776797
29600,0.018621,0.777538
29650,0.018354,0.779395
29700,0.018274,0.781678
29750,0.018322,0.780398
29800,0.018481,0.792332
29850,0.01866,0.787338
29900,0.018393,0.795164
29950,0.018657,0.789462
30000,0.018613,0.801718
30050,0.018662,0.808797
30100,0.018863,0.801289
30150,0.018585,0.806038
30200,0.018676,0.806788
30250,0.019102,0.837822
30300,0.018771,0.820267
30350,0.018868,0.819928
30400,0.019006,0.823909
30450,0.019137,0.825856
30500,0.018983,0.828035
30550,0.018955,0.832325
30600,0.01879,0.828066
30650,0.018796,0.834813
30700,0.019276,0.838281
30750,0.018776,0.839307
30800,0.019249,0.841198
30850,0.019007,0.84079
30900,0.019341,0.854634
30950,0.019044,0.846858
31000,0.01927,0.855476
31050,0.019293,0.852593
31100,0.01956,0.862845
31150,0.019335,0.872772
31200,0.019411,0.863908
31250,0.019553,0.887425
31300,0.019464,0.868511
31350,0.019432,0.879487
31400,0.019328,0.87335
31450,0.01962,0.881145
31500,0.019375,0.885594
31550,0.019552,0.892834
31600,0.019721,0.8881
31650,0.0196,0.891283
31700,0.019653,0.886545
31750,0.019788,0.8947
31800,0.019531,0.896665
31850,0.019699,0.904713
31900,0.019739,0.899772
31950,0.01988,0.907776
32000,0.019837,0.911097
32050,0.02006,0.915703
32100,0.01983,0.915446
32150,0.019875,0.912751
32200,0.019992,0.924753
32250,0.019874,0.917605
32300,0.019967,0.918613
32350,0.020081,0.927694
32400,0.019937,0.938019
32450,0.019876,0.928181
32500,0.020101,0.93577
32550,0.020063,0.945026
32600,0.02022,0.943269
32650,0.020219,0.940724
32700,0.020088,0.953899
32750,0.020172,0.954263
32800,0.020292,0.959602
32850,0.020534,0.958366
32900,0.020248,0.966888
32950,0.020678,0.963247
33000,0.020478,0.975398
33050,0.020559,0.97534
33100,0.020882,0.970609
33150,0.020604,0.975338
33200,0.020511,0.9751
33250,0.020945,0.987784
33300,0.020573,0.983803
33350,0.021058,0.993978
33400,0.020862,0.989897
33450,0.020896,0.997052
33500,0.020889,0.997853
33550,0.02112,1.00058
33600,0.021012,1.00652
33650,0.021014,1.00705
33700,0.020998,1.00835
33750,0.021319,1.00381
33800,0.02145,1.02147
33850,0.021322,1.01994
33900,0.021389,1.01514
33950,0.021399,1.03221
34000,0.021465,1.03141
34050,0.021596,1.03448
34100,0.021356,1.03648
34150,0.021413,1.03798
34200,0.021687,1.04226
34250,0.022033,1.04229
